Bird-ID	Plastic	Nammol-L	K-mmol-L	Clmmol-L	iCammol-L	TCO2	Glumg-dL	BUNmg-dL	Creamg-dL	Hct-perctPCU	Hb-g-dL	AnGapmmol-L	Sex
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
2	pos	151	2.4	130	1.04	12	255	3	0.199	39	13.3	13	F
3	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
4	pos	153	4.7	138	1.12	11	233	4	0.199	30	10.2	9	NA
5	pos	157	3.2	132	1.19	11	211	2.99	0.199	24	8.2	17	M
6	neg	152	3.6	132	1.06	10	230	4	0.199	35	11.9	16	F
7	pos	154	3.1	130	1.01	11	250	5	0.199	37	12.6	17	F
8	neg	155	3.3	131	1.17	11	250	3	0.199	40	13.6	16	F
9	neg	168	2.2	140	1.19	13	284	10	0.199	40	13.6	0	F
10	pos	161	2.3	135	1.2	14	243	12	0.199	32	10.9	15	M
11	pos	154	2.7	127	1.11	14	248	14	0.199	34	11.6	17	M
12	neg	155	3	125	1.03	17	249	6	0.199	26	12.2	17	F
13	neg	148	3.6	121	1.16	20	223	4	0.5	36	12.2	12	F
14	neg	153	3.4	130	1.06	14	267	2.99	0.199	37	12.6	14	M
15	pos	158	4.1	139	1.34	9	267	31	0.199	34	11.6	14	F
16	neg	153	3.3	125	1.2	15	228	2.99	0.199	33	11.2	18	M
17	pos	149	3.4	129	1.08	13	246	6	0.199	37	12.6	11	M
18	neg	152	3.8	125	0.92	17	222	8	0.199	36	12.2	15	F
19	neg	157	2.9	129	1.24	12	246	2.99	0.199	33	11.2	20	M
20	pos	155	3.1	127	1.05	14	290	25	0.199	36	12.2	18	F
21	neg	152	3.9	126	1.09	11	282	8	0.199	37	12.6	20	M
22	neg	155	2.8	124	1.27	15	307	18	0.199	36	12.2	20	F
23	neg	157	3.6	138	1.2	9	337	22	0.199	34	11.6	16	F
24	pos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
25	pos	169	3.6	140	1.17	10	287	4	0.199	40	13.6	0	F
26	neg	158	3	132	1.19	14	255	21	0.199	39	13.3	16	M
27	neg	153	4	123	1.25	16	279	6	0.199	31	10.5	20	M
28	pos	153	3.4	128	1.09	12	286	2.99	0.199	35	11.9	19	F
29	neg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F

