Year	Mo	Day	Time	Location	Bird_ID	Band_ID	Weight	Wing_chrd	Tarsus	Bill_L	Bill_W	Bill_D	Sex	Color	Weight-24	Plastic
2021	6	9	20:00	Kam_III	2	95443859	440	285	51	40	8	10	F	Dark	416	+
2021	6	9	20:00	Kam_III	3	95443739	490	292	51	38	8	10	F	light	466	-
2021	6	9	20:00	Kam_III	4	95409935	410	300	51	38	6	9	NA	light 	386	+
2021	6	10	20:00	Kam_III	5	112502151	470	300	49	40	7	9	M	light	446	+
2021	6	10	20:29	Kam_III	6	95443736	405	290	48	37	8	9	F	light	381	-
2021	6	10	20:48	Kam_III	7	95443737	390	291	49	40	5	10	F	light	366	+
2021	6	10	21:07	Kam_III	8	95443738	410	300	48	37	8	10	F	light	386	-
2021	6	15	19:59	Ho-okipa	9	95443740	385	289	47	37	6	9	F	light	361	-
2021	6	15	20:24	Ho-okipa	10	112502167	405	298	50	41	8	11	M	NA	381	+
2021	6	15	20:43	Ho-okipa	11	95443422	418	287	49	37	7	9	M	light	394	+
2021	6	15	21:03	Ho-okipa	12	95428125	520	292	52	40	8	10	F	light	496	-
2021	6	15	21:25	Ho-okipa	13	95424570	495	295	48	41	7	8	F	light	471	-
2021	6	16	19:55	Ho-okipa	14	95401984	485	297	51	40	7	9	M	light	461	-
2021	6	16	20:13	Ho-okipa	15	95409421	355	299	48	41	7	9	F	light	331	+
2021	6	16	20:30	Ho-okipa	16	95428282	482	296	49	40	8	9	M	light	458	-
2021	6	16	20:53	Ho-okipa	17	95443713	375	285	46	37	7	9	M	light	351	+
2021	6	16	21:30	Ho-okipa	18	95421554	410	300	49	42	7	9	F	light	386	-
2021	6	16	20:25	Hawea	19	95408598	420	295	51	39	7	9	M	light	396	-
2021	6	21	20:45	Hawea	20	95439170	405	298	51	40	8	10	F	light	381	+
2021	6	21	21:08	Hawea	21	95443716	420	300	51	41	8	10	M	light	396	-
2021	6	21	21:29	Hawea	22	95443746	395	274	50	38	7	9	F	light	371	-
2021	6	21	21:56	Hawea	23	95421295	375	285	51	40	8	9	F	light	351	-
2021	6	21	20:14	Hawea	24	95439178	380	291	49	40	8	9	F	light	356	+
2021	6	22	20:45	Hawea	25	95439267	320	290	50	37	7	8	F	light	296	+
2021	6	22	20:50	Hawea	26	104405748	396	303	51	39	8	9	M	light	372	-
2021	6	22	21:15	Hawea	27	95402717	400	305	52	39	8	9	M	light	376	-
2021	6	22	21:35	Hawea	28	NA	445	297	52	40	9	10	F	light	421	+
2021	6	22	21:55	Hawea	29	95443785	410	300	50	38	8	9	F	light	386	-
